count,description,filename
7,70mm,house1.dxf
2,"70mm (nahe Bodenkante, <= 40mm)",house1.dxf
7,Bodenplatte (75mm),7_bottomplate-75mm.dxf
2,Seitenteile (33mm),2_sideplate-outer-33mm.dxf
2,Innere Seitenteile (33mm),2_sideplate-inner-33mm.dxf
2,Seitenteile (36mm),2_sideplate-outer-36mm.dxf
2,Innere Seitenteile (36mm),2_sideplate-inner-36mm.dxf
8,Seitenteile (37mm),8_sideplate-outer-37mm.dxf
8,Innere Seitenteile (37mm),8_sideplate-inner-37mm.dxf
2,Seitenteile (42mm),2_sideplate-outer-42mm.dxf
2,Innere Seitenteile (42mm),2_sideplate-inner-42mm.dxf
7,Verbinder,house1.dxf
2,Gebaeudekontur mit Fensterscheiben,2_house1_outline_with_panes.dxf
2,Kontur horizontal,4_house1_outline.dxf
2,Kontur vertikal,4_house1_outline.dxf
